"TAG","Volume  de recherche","TAG 1","TAG 2","TAG 3","TAG 4"
"développement","27100","Développement","","",""
"développement d'applications","0","Développement","","",""
"développement de logiciels personnalisés","0","Développement","","",""
"full stack","5400","Développement","","",""
"Microservices","0","Développement","","",""
"design","40500","Design","","",""
"Dématérialisation","8100","Dématerialisaiton","","",""
"CRM","49500","CRM","","",""
"CxM","210","CRM","","",""
"logiciels commerciaux","260","CRM","","",""
"coronavirus","0","Covid-19","","",""
"Crise Covid-19","0","Covid-19","","",""
"pandémie","60500","Covid-19","","",""
"Corporate Performance Management","30","Corporate performance management","","",""
"consulting","12100","Consulting","","",""
"conformité","3600","Conformité IT","","",""
"Comptabilité","40500","Comptabilité","","",""
"Syntel","210","Company","","",""
"Cloud","74000","Cloud Computing","","",""
"Cloud Act","1900","Cloud Computing","","",""
"cloud computing","8100","Cloud Computing","","",""
"cloud content service","0","Cloud Computing","","",""
"cloud hybride","590","Cloud Computing","","",""
"cloud managé","0","Cloud Computing","","",""
"cloud privé","880","Cloud Computing","","",""
"cloud shift","10","Cloud Computing","","",""
"Cloud souverain","390","Cloud Computing","","",""
"Cloudn","10","Cloud Computing","","",""
"Cloud-native","","Cloud Computing","","",""
"CloudSuite","10","Cloud Computing","","",""
"Customer Data Cloud","10","Cloud Computing","","",""
"ecosystème confiance cloud","0","Cloud Computing","","",""
"Enterprise Cloud","10","Cloud Computing","","",""
"firewall cloud","50","Cloud Computing","","",""
"multicloud","390","Cloud Computing","","",""
"Multi-cloud","","Cloud Computing","","",""
"non-cloud","","Cloud Computing","","",""
"Plateforme Cloud","210","Cloud Computing","","",""
"projets cloud","0","Cloud Computing","","",""
"services cloud","170","Cloud Computing","","",""
"stratégie cloud","40","Cloud Computing","","",""
"Chimie","9900","Chimie","","",""
"chaîne de valeur","8100","Chaîne de valeur","","",""
"chaîne de valeur fondamentale","0","Chaîne de valeur","","",""
"chaîne de valeur non essentielle","0","Chaîne de valeur","","",""
"chaînes de valeur","0","Chaîne de valeur","","",""
"Case management","880","Case management","","",""
"Business model","12100","Business Model","","",""
"blockchain","0","Blockchain","","",""
"blockchain de consortium","0","Blockchain","","",""
"blockchain privée","0","Blockchain","","",""
"blockchain publique","0","Blockchain","","",""
"blockchain-as-a-service","0","Blockchain","","",""
"blokchain","0","Blockchain","","",""
"bijouterie","110000","Bijouterie","","",""
"BI","22200","BI","","",""
"bi collaborative","10","BI","","",""
"BI en self-service","","BI","","",""
"BI temps réel","10","BI","","",""
"Business intelligence","5400","BI","","",""
"organisations BI","0","BI","","",""
"self-service BI","","BI","","",""
"Autorité bancaire européenne","390","Banque","","",""
"banking","22200","Banque","","",""
"banque","301000","Banque","","",""
"banques","0","Banque","","",""
"banques challengers","0","Banque","","",""
"industrie bancaire","30","Banque","","",""
"réglementations bancaires","390","Banque","","",""
"secteur bancaire","590","Banque","","",""
"B2C","5400","B2C","","",""
"B2B2C","480","B2B2C","","",""
"B2B","12100","B2B","","",""
"aviation","4400","Aviation","","",""
"autonomie","12100","autonomie","","",""
"autonomous","2900","autonomie","","",""
"automation","12100","Automatisation","","",""
"Automatisation","2400","Automatisation","","",""
"audit","22200","Audit","","",""
"audit interne","2900","Audit","","",""
"AI","22200","Artificial intelligence","","",""
"artificial intelligence","6600","Artificial intelligence","","",""
"centres IA","0","Artificial intelligence","","",""
"cognitive computing","90","Artificial intelligence","","",""
"Cognitive Services","90","Artificial intelligence","","",""
"IA","14800","Artificial intelligence","","",""
"intelligence","18100","Artificial intelligence","","",""
"INTELLIGENCE ARTIFCIELLE","0","Artificial intelligence","","",""
"Intelligence artificielle","33100","Artificial intelligence","","",""
"reconnaissance du langage","0","Artificial intelligence","","",""
"reconnaissance vidéo","30","Artificial intelligence","","",""
"reconnaissance vocale","2400","Artificial intelligence","","",""
"reconnaissances d'images","0","Artificial intelligence","","",""
"réseaux de neurones","2900","Artificial intelligence","","",""
"services IA","0","Artificial intelligence","","",""
"Archivage","1900","Archivage","","",""
"applications verticales","0","Application Verticale","","",""
"application métier","480","Application Métier","","",""
"applications métier","480","Application Métier","","",""
"applications métiers","140","Application Métier","","",""
"API","49500","API","","",""
"API Management","1600","API","","",""
"API-fication","0","API","","",""
"aerospatial","1900","Aerospatial","","",""
"aerospatiale","1300","Aerospatial","","",""
"aérospatiale","1900","Aerospatial","","",""
"1910efchs1_mpo_1","0","A Supprimer","","",""
"3D","12100","A Supprimer","","",""
"3DS","14800","A Supprimer","","",""
"ABE","0","A Supprimer","","",""
"Abonnement","27100","A Supprimer","","",""
"accès","9900","A Supprimer","","",""
"accès à distance","210","A Supprimer","","",""
"accompagnement","33100","A Supprimer","","",""
"acculturation","12100","A Supprimer","","",""
"acteurs","33100","A Supprimer","","",""
"actifs","5400","A Supprimer","","",""
"action publique","1000","A Supprimer","","",""
"activités","60500","A Supprimer","","",""
"Activity-based costing","0","A Supprimer","","",""
"administration","14800","A Supprimer","","",""
"administration numérique","90","A Supprimer","","",""
"administrés","0","A Supprimer","","",""
"Adoption","110000","A Supprimer","","",""
"Affaires","8100","A Supprimer","","",""
"agent","5400","A Supprimer","","",""
"agents","0","A Supprimer","","",""
"algorithme","49500","A Supprimer","","",""
"algorithmes","0","A Supprimer","","",""
"alignement","4400","A Supprimer","","",""
"Alignement stratégique","260","A Supprimer","","",""
"Alliance open Industry","0","A Supprimer","","",""
"ambidextérité","0","A Supprimer","","",""
"ambidextrie","480","A Supprimer","","",""
"amélioration","2900","A Supprimer","","",""
"amélioration des processus","50","A Supprimer","","",""
"analyse","0","A Supprimer","","",""
"appels téléphoniques","5400","A Supprimer","","",""
"appliance","1600","A Supprimer","","",""
"application","110000","A Supprimer","","",""
"Application management","260","A Supprimer","","",""
"Applications","0","A Supprimer","","",""
"applications de gestion","70","A Supprimer","","",""
"applications d'entreprise","0","A Supprimer","","",""
"Applications verticalisées","0","A Supprimer","","",""
"Applied Intelligence","50","A Supprimer","","",""
"apprentissage","27100","A Supprimer","","",""
"approvisionnement","9900","A Supprimer","","",""
"APT","27100","A Supprimer","","",""
"aspects réglementaires","0","A Supprimer","","",""
"assemblage","2400","A Supprimer","","",""
"assistance","6600","A Supprimer","","",""
"assistant numérique","210","A Supprimer","","",""
"associations à but non lucratif","1300","A Supprimer","","",""
"attaques","12100","A Supprimer","","",""
"Attractivité","3600","A Supprimer","","",""
"autorité de certification","720","A Supprimer","","",""
"avis","110000","A Supprimer","","",""
"baromètre","18100","A Supprimer","","",""
"Bases Analytiques","0","A Supprimer","","",""
"BeeFS","8100","A Supprimer","","",""
"Bénéfices","3600","A Supprimer","","",""
"besoins","8100","A Supprimer","","",""
"Best of breed","880","A Supprimer","","",""
"BIA","18100","A Supprimer","","",""
"BICC","210","A Supprimer","","",""
"boissons","18100","A Supprimer","","",""
"bonnes pratiques","1900","A Supprimer","","",""
"BPA","33100","A Supprimer","","",""
"BPMN 2.0","0","A Supprimer","","",""
"bunsiness Model","0","A Supprimer","","",""
"bureaucratie","3600","A Supprimer","","",""
"business","49500","A Supprimer","","",""
"Business 4.0","0","A Supprimer","","",""
"Business Benefits","20","A Supprimer","","",""
"Business modèle","0","A Supprimer","","",""
"Business software","140","A Supprimer","","",""
"CAD","18100","A Supprimer","","",""
"Cadrage","1900","A Supprimer","","",""
"CAM","40500","A Supprimer","","",""
"candidats","2900","A Supprimer","","",""
"capacités","8100","A Supprimer","","",""
"capacités de paiement","0","A Supprimer","","",""
"Capteurs","8100","A Supprimer","","",""
"Capture","12100","A Supprimer","","",""
"carrière","33100","A Supprimer","","",""
"cartographie","12100","A Supprimer","","",""
"cas d'utilisation","0","A Supprimer","","",""
"CB","22200","A Supprimer","","",""
"CDO","9900","A Supprimer","","",""
"centrale électrique virtuelle","0","A Supprimer","","",""
"centralisation","1900","A Supprimer","","",""
"centre de données","320","A Supprimer","","",""
"centre d'opérations","0","A Supprimer","","",""
"certification","6600","A Supprimer","","",""
"chaine d'approvionnement","0","A Supprimer","","",""
"chaîne d'approvisionnement","0","A Supprimer","","",""
"chaînes d'approvisionnement intelligentes","0","A Supprimer","","",""
"champion numérique","0","A Supprimer","","",""
"changement","22200","A Supprimer","","",""
"chiffrage","1300","A Supprimer","","",""
"choix","6600","A Supprimer","","",""
"churn","3600","A Supprimer","","",""
"CI/CD","0","A Supprimer","","",""
"ciblage","1600","A Supprimer","","",""
"ci-innovation","0","A Supprimer","","",""
"citoyen","8100","A Supprimer","","",""
"classement","40500","A Supprimer","","",""
"clôture des contrats","0","A Supprimer","","",""
"code ouvert","0","A Supprimer","","",""
"Codex","14800","A Supprimer","","",""
"Cognitif","27100","A Supprimer","","",""
"colis postaux","0","A Supprimer","","",""
"collaborateurs","8100","A Supprimer","","",""
"collaboratif","1300","A Supprimer","","",""
"Collaboration","18100","A Supprimer","","",""
"Collaboration ","0","A Supprimer","","",""
"collecte","3600","A Supprimer","","",""
"collecte de données","390","A Supprimer","","",""
"Commande","18100","A Supprimer","","",""
"commandes","0","A Supprimer","","",""
"communauté","18100","A Supprimer","","",""
"Communautés","0","A Supprimer","","",""
"communication","33100","A Supprimer","","",""
"communications","0","A Supprimer","","",""
"compétence","22200","A Supprimer","","",""
"compétences","22200","A Supprimer","","",""
"compétitivité","1900","A Supprimer","","",""
"complexité","2400","A Supprimer","","",""
"compliance","18100","A Supprimer","","",""
"comportement","6600","A Supprimer","","",""
"comportement humain","1000","A Supprimer","","",""
"comportements de paiement","0","A Supprimer","","",""
"Composants","1900","A Supprimer","","",""
"Comptes à privilèges","10","A Supprimer","","",""
"Computer vision","1600","A Supprimer","","",""
"concept","14800","A Supprimer","","",""
"concept time","40","A Supprimer","","",""
"Conception","8100","A Supprimer","","",""
"Conception assistée par ordinateur","320","A Supprimer","","",""
"confidentialité","8100","A Supprimer","","",""
"Configuration","6600","A Supprimer","","",""
"Configuration Management Data Base","40","A Supprimer","","",""
"connecteur","4400","A Supprimer","","",""
"connectivité","2900","A Supprimer","","",""
"connexion","90500","A Supprimer","","",""
"Conseil","14800","A Supprimer","","",""
"conseil juridique","1900","A Supprimer","","",""
"conseils","0","A Supprimer","","",""
"consolidation","3600","A Supprimer","","",""
"Consommateur","0","A Supprimer","","",""
"consortium","8100","A Supprimer","","",""
"consumer packaged goods","90","A Supprimer","","",""
"Consumers","4400","A Supprimer","","",""
"containers","22200","A Supprimer","","",""
"conteneur","27100","A Supprimer","","",""
"conteneurs","0","A Supprimer","","",""
"contenu","6600","A Supprimer","","",""
"contenu pédagogique","170","A Supprimer","","",""
"Continuité","3600","A Supprimer","","",""
"continuité d'activités","0","A Supprimer","","",""
"Continuité de service","480","A Supprimer","","",""
"continuous delivery","480","A Supprimer","","",""
"Contractualisation","1900","A Supprimer","","",""
"contrat","12100","A Supprimer","","",""
"contrats","0","A Supprimer","","",""
"Contrats intelligents","10","A Supprimer","","",""
"contrôle","5400","A Supprimer","","",""
"contrôle des données","20","A Supprimer","","",""
"contrôle informatique","30","A Supprimer","","",""
"contrôle interne","1900","A Supprimer","","",""
"contrôle qualité numérique","0","A Supprimer","","",""
"COOC","4400","A Supprimer","","",""
"coopération","5400","A Supprimer","","",""
"coopétition","590","A Supprimer","","",""
"Core banking","260","A Supprimer","","",""
"correctifs","880","A Supprimer","","",""
"couverture fonctionnelle","90","A Supprimer","","",""
"CPG","3600","A Supprimer","","",""
"création","5400","A Supprimer","","",""
"critères","5400","A Supprimer","","",""
"critères de performance","170","A Supprimer","","",""
"critères fonctionnels","0","A Supprimer","","",""
"critères techniques","0","A Supprimer","","",""
"croissance","6600","A Supprimer","","",""
"CSP","49500","A Supprimer","","",""
"culture du travail","40","A Supprimer","","",""
"Customer centric","1600","A Supprimer","","",""
"Customer Data Platform","390","A Supprimer","","",""
"Customer feedback","140","A Supprimer","","",""
"customer-driven","0","A Supprimer","","",""
"Cxo survey","10","A Supprimer","","",""
"cycle analytique","0","A Supprimer","","",""
"cycle de commercialisation","0","A Supprimer","","",""
"cycle de vie des applications","0","A Supprimer","","",""
"date","49500","A Supprimer","","",""
"deal tracker","20","A Supprimer","","",""
"Décision","5400","A Supprimer","","",""
"déclarations fiscales","170","A Supprimer","","",""
"déclarations légales","40","A Supprimer","","",""
"Défense","3600","A Supprimer","","",""
"défis","9900","A Supprimer","","",""
"défis informatiques","0","A Supprimer","","",""
"démarche qualité","2400","A Supprimer","","",""
"dépenses","2900","A Supprimer","","",""
"déplacement","33100","A Supprimer","","",""
"déplacements","0","A Supprimer","","",""
"déploiement","6600","A Supprimer","","",""
"Desktop-as-a-Service","0","A Supprimer","","",""
"désorganisation","260","A Supprimer","","",""
"détection","1600","A Supprimer","","",""
"dette technique","720","A Supprimer","","",""
"developpement","0","A Supprimer","","",""
"développeur","9900","A Supprimer","","",""
"développeurs","0","A Supprimer","","",""
"Digital Manufacturing","110","A Supprimer","","",""
"direction","8100","A Supprimer","","",""
"disruption","18100","A Supprimer","","",""
"distanciel","27100","A Supprimer","","",""
"distribution","9900","A Supprimer","","",""
"diversification","6600","A Supprimer","","",""
"DIY","33100","A Supprimer","","",""
"DLT","720","A Supprimer","","",""
"document","27100","A Supprimer","","",""
"Documentation projet","30","A Supprimer","","",""
"Documents","0","A Supprimer","","",""
"domaines d'applications","0","A Supprimer","","",""
"données de référence","90","A Supprimer","","",""
"DORA","60500","A Supprimer","","",""
"DOS","18100","A Supprimer","","",""
"Dossier patient","480","A Supprimer","","",""
"DQ","1900","A Supprimer","","",""
"droit","12100","A Supprimer","","",""
"DSP2","5400","A Supprimer","","",""
"échanges","12100","A Supprimer","","",""
"Echanges de données","0","A Supprimer","","",""
"échanges de données","110","A Supprimer","","",""
"échanges sécurisés","10","A Supprimer","","",""
"échec","74000","A Supprimer","","",""
"économie sectorielle","0","A Supprimer","","",""
"économies","2900","A Supprimer","","",""
"Ecosystème","0","A Supprimer","","",""
"écosystème","22200","A Supprimer","","",""
"écosystèmes","0","A Supprimer","","",""
"Editeur","0","A Supprimer","","",""
"éditeur","0","A Supprimer","","",""
"éditeurs","0","A Supprimer","","",""
"effectif","8100","A Supprimer","","",""
"efficacité","8100","A Supprimer","","",""
"efficacité opérationnelle","210","A Supprimer","","",""
"efficience","22200","A Supprimer","","",""
"efficiency-driven","0","A Supprimer","","",""
"email","0","A Supprimer","","",""
"emails","0","A Supprimer","","",""
"emploi","60500","A Supprimer","","",""
"employabilité","0","A Supprimer","","",""
"employee expérience","0","A Supprimer","","",""
"employés","4400","A Supprimer","","",""
"employés augmentés","0","A Supprimer","","",""
"employeur","3600","A Supprimer","","",""
"énergie et ressources intelligentes","0","A Supprimer","","",""
"engagement","14800","A Supprimer","","",""
"enjeux","8100","A Supprimer","","",""
"enjeux des DSI","0","A Supprimer","","",""
"Enquête","5400","A Supprimer","","",""
"enrichissement des données brutes","0","A Supprimer","","",""
"entrainement","18100","A Supprimer","","",""
"entrepot","14800","A Supprimer","","",""
"entreprise apprenante","390","A Supprimer","","",""
"Entreprise digitale","480","A Supprimer","","",""
"Entreprises","90500","A Supprimer","","",""
"environnement","27100","A Supprimer","","",""
"Environnement distribué","20","A Supprimer","","",""
"environnements applicatifs","0","A Supprimer","","",""
"Epselon","18100","A Supprimer","","",""
"équipes informatiques","0","A Supprimer","","",""
"ERD","0","A Supprimer","","",""
"établissements de santé","1300","A Supprimer","","",""
"ETI","14800","A Supprimer","","",""
"étude","4400","A Supprimer","","",""
"évaluation","5400","A Supprimer","","",""
"évauation","0","A Supprimer","","",""
"évolution","9900","A Supprimer","","",""
"évolutivité","480","A Supprimer","","",""
"exécution","2900","A Supprimer","","",""
"Experience","0","A Supprimer","","",""
"expérience","8100","A Supprimer","","",""
"expérience d'acaht","0","A Supprimer","","",""
"expériences","0","A Supprimer","","",""
"expertise métier","90","A Supprimer","","",""
"exploitation","6600","A Supprimer","","",""
"expression des besoins","170","A Supprimer","","",""
"externalisation des centres de données","0","A Supprimer","","",""
"faisabilité","2900","A Supprimer","","",""
"FAST","60500","A Supprimer","","",""
"FastForward","880","A Supprimer","","",""
"feedback management","210","A Supprimer","","",""
"fiche métier","18100","A Supprimer","","",""
"Fiori","12100","A Supprimer","","",""
"fiscal","6600","A Supprimer","","",""
"flexibilité","2900","A Supprimer","","",""
"flux","22200","A Supprimer","","",""
"fonctionnement","18100","A Supprimer","","",""
"fonctions","14800","A Supprimer","","",""
"forfait","14800","A Supprimer","","",""
"Forge","49500","A Supprimer","","",""
"framework","12100","A Supprimer","","",""
"fraude","5400","A Supprimer","","",""
"fraudes","0","A Supprimer","","",""
"Fret","8100","A Supprimer","","",""
"FRP","1000","A Supprimer","","",""
"Fund administration","70","A Supprimer","","",""
"fusion de SI","0","A Supprimer","","",""
"Fusions","22200","A Supprimer","","",""
"futur","22200","A Supprimer","","",""
"Gaia-x","0","A Supprimer","","",""
"Gateway","6600","A Supprimer","","",""
"gaz","27100","A Supprimer","","",""
"GE","27100","A Supprimer","","",""
"génie électrique","1300","A Supprimer","","",""
"geointelligence","50","A Supprimer","","",""
"Géolocalisation","27100","A Supprimer","","",""
"gestion administrative","6600","A Supprimer","","",""
"Gestion d'actifs","0","A Supprimer","","",""
"gestion de compte poids","0","A Supprimer","","",""
"gestion de crise","1900","A Supprimer","","",""
"gestion de la performance","90","A Supprimer","","",""
"gestion de l'énergie","0","A Supprimer","","",""
"gestion de l'information","0","A Supprimer","","",""
"Gestion de portefeuille de projets","30","A Supprimer","","",""
"Gestion de production","1000","A Supprimer","","",""
"gestion de titres de matière","0","A Supprimer","","",""
"Gestion des accès","110","A Supprimer","","",""
"gestion des articles","10","A Supprimer","","",""
"gestion des commandes","140","A Supprimer","","",""
"gestion des contrats","110","A Supprimer","","",""
"gestion des coûts","90","A Supprimer","","",""
"gestion des escales","0","A Supprimer","","",""
"gestion des modèles","0","A Supprimer","","",""
"Gestion des services d'entreprise","0","A Supprimer","","",""
"gestion des sinistres","90","A Supprimer","","",""
"gestion des transactions","10","A Supprimer","","",""
"gestion du patrimoine","720","A Supprimer","","",""
"gestion hybride","0","A Supprimer","","",""
"gestion technique","170","A Supprimer","","",""
"gestionnaire","4400","A Supprimer","","",""
"gestionnaire de compte","590","A Supprimer","","",""
"gestionnaire de configuration","50","A Supprimer","","",""
"gouvernance informatique","140","A Supprimer","","",""
"gouvernance multimodale","0","A Supprimer","","",""
"grand public","1600","A Supprimer","","",""
"grande consommation","210","A Supprimer","","",""
"grands comptes","590","A Supprimer","","",""
"Grid","8100","A Supprimer","","",""
"guichet unique","9900","A Supprimer","","",""
"guide","8100","A Supprimer","","",""
"HDFS","1900","A Supprimer","","",""
"Holmes","3600","A Supprimer","","",""
"Horaires","74000","A Supprimer","","",""
"Hybride","27100","A Supprimer","","",""
"hygiène","9900","A Supprimer","","",""
"iCE.X","0","A Supprimer","","",""
"ICO","18100","A Supprimer","","",""
"id","18100","A Supprimer","","",""
"IDEA","12100","A Supprimer","","",""
"IM","18100","A Supprimer","","",""
"immune system","720","A Supprimer","","",""
"Immutabilité","720","A Supprimer","","",""
"impact","18100","A Supprimer","","",""
"implantations","18100","A Supprimer","","",""
"implémentation","3600","A Supprimer","","",""
"Implemntation","0","A Supprimer","","",""
"inclusion","9900","A Supprimer","","",""
"indicateurs","4400","A Supprimer","","",""
"Indice","5400","A Supprimer","","",""
"Industrial Control System","50","A Supprimer","","",""
"industrialisation","4400","A Supprimer","","",""
"industriel","5400","A Supprimer","","",""
"Industry-specific solutions","0","A Supprimer","","",""
"infection","0","A Supprimer","","",""
"informatique de confiance","10","A Supprimer","","",""
"informatique d'entreprise","0","A Supprimer","","",""
"Informatique industrielle","1000","A Supprimer","","",""
"informatique prévisionnelle","0","A Supprimer","","",""
"infrasctructure","8100","A Supprimer","","",""
"infrascture","0","A Supprimer","","",""
"ingénierie mécanique","590","A Supprimer","","",""
"Innovation","27100","A Supprimer","","",""
"innovation numérique","210","A Supprimer","","",""
"Innovation ouverte","260","A Supprimer","","",""
"innovations","0","A Supprimer","","",""
"Innovations digitales","320","A Supprimer","","",""
"innover","27100","A Supprimer","","",""
"Input management","10","A Supprimer","","",""
"installation","18100","A Supprimer","","",""
"insurance market","30","A Supprimer","","",""
"intégrateur","1600","A Supprimer","","",""
"intégrateurs","0","A Supprimer","","",""
"Intégration","3600","A Supprimer","","",""
"intégration continue","1600","A Supprimer","","",""
"Intégration de données","140","A Supprimer","","",""
"intégration des processus","0","A Supprimer","","",""
"intégration des systèmes","10","A Supprimer","","",""
"Intégration/préparation des données","0","A Supprimer","","",""
"Intelligent Move","10","A Supprimer","","",""
"interaction","22200","A Supprimer","","",""
"Interactions","0","A Supprimer","","",""
"intérêts","22200","A Supprimer","","",""
"interne","3600","A Supprimer","","",""
"internet industriel","30","A Supprimer","","",""
"Interopérabilité","5400","A Supprimer","","",""
"intrusion","3600","A Supprimer","","",""
"Invent","9900","A Supprimer","","",""
"jeux de données","590","A Supprimer","","",""
"journaux d'événements","0","A Supprimer","","",""
"juridique","4400","A Supprimer","","",""
"justificatifs","8100","A Supprimer","","",""
"K5","1000","A Supprimer","","",""
"LAD","6600","A Supprimer","","",""
"langage","14800","A Supprimer","","",""
"Languages","14800","A Supprimer","","",""
"latence","6600","A Supprimer","","",""
"ledger distribué","0","A Supprimer","","",""
"legacy","49500","A Supprimer","","",""
"leviers de croissance","170","A Supprimer","","",""
"licence","22200","A Supprimer","","",""
"logiciels et services","10","A Supprimer","","",""
"low-code","0","A Supprimer","","",""
"Luttre contre le blanchiment d'argent","0","A Supprimer","","",""
"machines","14800","A Supprimer","","",""
"magasin numérique","110","A Supprimer","","",""
"magasin physique","110","A Supprimer","","",""
"maintenance applicative","170","A Supprimer","","",""
"maintenant","22200","A Supprimer","","",""
"Maîtrise des données","0","A Supprimer","","",""
"managed security services","20","A Supprimer","","",""
"manufacturing execution system","390","A Supprimer","","",""
"marchandises","1900","A Supprimer","","",""
"marché informatique","70","A Supprimer","","",""
"market","49500","A Supprimer","","",""
"market opportunities","70","A Supprimer","","",""
"Marketplace","301000","A Supprimer","","",""
"marque employeur","5400","A Supprimer","","",""
"Masquage","0","A Supprimer","","",""
"matériaux","22200","A Supprimer","","",""
"matériel","40500","A Supprimer","","",""
"matériels","0","A Supprimer","","",""
"maturité","4400","A Supprimer","","",""
"media","18100","A Supprimer","","",""
"média","18100","A Supprimer","","",""
"Melusine","0","A Supprimer","","",""
"menace","6600","A Supprimer","","",""
"menaces","6600","A Supprimer","","",""
"messagerie","74000","A Supprimer","","",""
"mesure","14800","A Supprimer","","",""
"mesures prioritaires","0","A Supprimer","","",""
"Métadonnées","4400","A Supprimer","","",""
"métallurgie","8100","A Supprimer","","",""
"methode","0","A Supprimer","","",""
"Méthode","3600","A Supprimer","","",""
"méthodes","3600","A Supprimer","","",""
"méthodologue","90","A Supprimer","","",""
"métier","40500","A Supprimer","","",""
"métiers","0","A Supprimer","","",""
"micro services","3600","A Supprimer","","",""
"microservice","0","A Supprimer","","",""
"micro-service","0","A Supprimer","","",""
"mines","18100","A Supprimer","","",""
"missions","18100","A Supprimer","","",""
"Mobile","49500","A Supprimer","","",""
"mobile banking","320","A Supprimer","","",""
"Mobilité en tant que Service","0","A Supprimer","","",""
"modèle","18100","A Supprimer","","",""
"modèle d'activité","0","A Supprimer","","",""
"Modèle de déploiement ","0","A Supprimer","","",""
"modèle d'organisation","0","A Supprimer","","",""
"modèle économique","2900","A Supprimer","","",""
"modèles économiques","110","A Supprimer","","",""
"Modélisation des données","170","A Supprimer","","",""
"Modernisation","720","A Supprimer","","",""
"module","6600","A Supprimer","","",""
"monétique","1000","A Supprimer","","",""
"monétisation des données","40","A Supprimer","","",""
"monitoring","0","A Supprimer","","",""
"multilingue","1000","A Supprimer","","",""
"multimodal","2900","A Supprimer","","",""
"mutation organisationnelle","0","A Supprimer","","",""
"Mutualisation","4400","A Supprimer","","",""
"Navigation","8100","A Supprimer","","",""
"NDF","2400","A Supprimer","","",""
"négoce","2400","A Supprimer","","",""
"négociation","5400","A Supprimer","","",""
"NetSuite","2400","A Supprimer","","",""
"networks","18100","A Supprimer","","",""
"Neurones","18100","A Supprimer","","",""
"Nia","2900","A Supprimer","","",""
"nœuds d'extrémité","0","A Supprimer","","",""
"Normalisation","2400","A Supprimer","","",""
"Norme","6600","A Supprimer","","",""
"normes","0","A Supprimer","","",""
"notoriété","8100","A Supprimer","","",""
"nouveaux talents","110","A Supprimer","","",""
"nouvelle génération","2400","A Supprimer","","",""
"nouvelles technologies","6600","A Supprimer","","",""
"Numérique","18100","A Supprimer","","",""
"numérisation des processus","10","A Supprimer","","",""
"objets protables","0","A Supprimer","","",""
"obstacles","3600","A Supprimer","","",""
"OCD","0","A Supprimer","","",""
"offre","9900","A Supprimer","","",""
"offres verticales","0","A Supprimer","","",""
"OLAP","2400","A Supprimer","","",""
"omniservice","0","A Supprimer","","",""
"On-demand","0","A Supprimer","","",""
"on-premise","0","A Supprimer","","",""
"opérateurs","5400","A Supprimer","","",""
"Operational system","1000","A Supprimer","","",""
"opérationnels","5400","A Supprimer","","",""
"opportunities","4400","A Supprimer","","",""
"optimisation","3600","A Supprimer","","",""
"optimisation des ressources","40","A Supprimer","","",""
"optimisation des temps","0","A Supprimer","","",""
"Orchestration","823000","A Supprimer","","",""
"Ordonnancement","5400","A Supprimer","","",""
"orfèvrerie","6600","A Supprimer","","",""
"OT","8100","A Supprimer","","",""
"OTT","6600","A Supprimer","","",""
"outil","22200","A Supprimer","","",""
"outil de production","140","A Supprimer","","",""
"outil d'évaluation","0","A Supprimer","","",""
"outils","0","A Supprimer","","",""
"Outils collaboratifs","1900","A Supprimer","","",""
"Outpost","2400","A Supprimer","","",""
"Output management","30","A Supprimer","","",""
"ouverture","27100","A Supprimer","","",""
"overheads","2900","A Supprimer","","",""
"PAC","22200","A Supprimer","","",""
"papier","14800","A Supprimer","","",""
"parapheur","5400","A Supprimer","","",""
"partenaire","14800","A Supprimer","","",""
"partenaires","0","A Supprimer","","",""
"partners","22200","A Supprimer","","",""
"patients","14800","A Supprimer","","",""
"PC","301000","A Supprimer","","",""
"pénurie","4400","A Supprimer","","",""
"Perception","6600","A Supprimer","","",""
"performance","18100","A Supprimer","","",""
"Performances","0","A Supprimer","","",""
"personnel","12100","A Supprimer","","",""
"petaoctet","1000","A Supprimer","","",""
"Pétrole","60500","A Supprimer","","",""
"PGC","5400","A Supprimer","","",""
"photographie","74000","A Supprimer","","",""
"pilotage par priorité","0","A Supprimer","","",""
"pirate","27100","A Supprimer","","",""
"place de marché","1300","A Supprimer","","",""
"plan de continuité","720","A Supprimer","","",""
"plan stratégique","1300","A Supprimer","","",""
"Planning","74000","A Supprimer","","",""
"Plateforme","40500","A Supprimer","","",""
"plateforme AIP","0","A Supprimer","","",""
"Plateforme analytique","10","A Supprimer","","",""
"plateforme conversationnelle","20","A Supprimer","","",""
"plateforme d'apprentissage intelligente","0","A Supprimer","","",""
"plateforme industrielle","140","A Supprimer","","",""
"plateforme intelligente","0","A Supprimer","","",""
"Plateforme NIA","0","A Supprimer","","",""
"plateformes","0","A Supprimer","","",""
"platform","6600","A Supprimer","","",""
"PMI","49500","A Supprimer","","",""
"Point d'accès unique","0","A Supprimer","","",""
"Polytechnique","22200","A Supprimer","","",""
"portail","90500","A Supprimer","","",""
"portail intranet de formation","0","A Supprimer","","",""
"Portefeuille de projets","70","A Supprimer","","",""
"POS","6600","A Supprimer","","",""
"poste","301000","A Supprimer","","",""
"poste de travail","2900","A Supprimer","","",""
"Power","49500","A Supprimer","","",""
"PPM","12100","A Supprimer","","",""
"pratique","5400","A Supprimer","","",""
"Pratiques collaboratives","40","A Supprimer","","",""
"prédictif","590","A Supprimer","","",""
"préparation","8100","A Supprimer","","",""
"présentiel","49500","A Supprimer","","",""
"pression concurrentielle","40","A Supprimer","","",""
